Year,Member State,8 Types of Farming,14 Types of Farming,Economic Size,(SE005) Economic size (€'000),(SE010) Total labour input (AWU),(SE011) Labour input (hrs),(SE015) Unpaid labour input (AWU),(SE016) Unpaid labour input (hrs),(SE020) Paid labour input (AWU),(SE021) Paid labour Input (hrs),(SE025) Total Utilised Agricultural Area (ha),(SE026) Arable land (ha),(SE027) Permanent crops (ha),(SE028) Permanent grassland (ha),(SE030) Rented UAA (ha),(SE035) Cereals (ha),(SE041) Other field crops (ha),(SE042) Energy crops (ha),(SE046) Vegetables and flowers (ha),(SE050) Vineyards (ha),(SE054) Permanent crops (ha),(SE055) Orchards (ha),(SE060) Olive groves (ha),(SE065) Other permanent crops (ha),(SE071) Forage crops (ha),(SE072) Agricultural fallows (ha),(SE073) Set aside (ha),(SE074) Total agricultural area out of production (ha),(SE075) Woodland area (ha),(SE080) Total livestock units (LU),(SE085) Dairy cows (LU),(SE086) Cattle dairy cows (LU),(SE087) Buffalo dairy cows (LU),(SE090) Other cattle (LU),(SE095) Sheep and goats (LU),(SE100) Pigs (LU),(SE105) Poultry (LU),(SE110) Yield of wheat (q/ha),(SE115) Yield of maize (q/ha),(SE120) Stocking density (LU/ha),(SE125) Milk yield (kg/cow),(SE126) Milk yield cattle dairy cows (kg/cow),(SE127) Milk yield buffalo dairy cows (kg/cow),(SE131) Total output (€/farm),(SE132) Total output / Total input (ratio),(SE135) Total output crops & crop production (€/farm),(SE136) Total crops output (€/ha),(SE140) Cereals (€/farm),(SE145) Protein crops (€/farm),(SE146) Energy crops (€),(SE150) Potatoes (€/farm),(SE155) Sugar beet (€/farm),(SE160) Oil-seed crops (€/farm),(SE165) Industrial crops (€/farm),(SE170) Vegetables & flowers (€/farm),(SE175) Fruit (excl. Citrus and grapes) (€/farm),(SE180) Citrus fruit (€/farm),(SE185) Wine and grapes (€/farm),(SE190) Olives & olive oil (€/farm),(SE195) Forage crops (€/farm),(SE200) Other crop output (€/farm),(SE206) Total output livestock & livestock products (€/farm),(SE207) Total livestock output (€/LU),(SE211) Change in value of livestock (€),(SE216) Cows' milk & milk products (€/farm),(SE220) Beef and veal (€/farm),(SE225) Pigmeat (€/farm),(SE022) Share of OGA work /AWU (%),(SE230) Sheep and goats (€/farm),(SE235) Poultrymeat (€/farm),(SE240) Eggs (€/farm),(SE245) Ewes' and goats' milk (€/farm),(SE251) Other livestock & products (€/farm),(SE256) Other output (€/farm),(SE260) Farmhouse consumption (€),(SE265) Farm use (€),(SE270) Total Inputs (€),(SE275) Total intermediate consumption (€),(SE281) Total specific costs (€),(SE284) Specific crop costs (€/ha),(SE285) Seeds and plants (€),(SE290) Seeds and plants home-grown (€),(SE295) Fertilisers (€),(SE296) Fertiliser N (q),(SE297) Fertiliser P2O5 (q),(SE298) Fertiliser K2O (q),(SE300) Crop protection (€),(SE305) Other crop specific costs (€),(SE309) Specific livestock costs (€/LU),(SE310) Feed for grazing livestock (€),(SE315) Feed for grazing livestock home-grown (€),(SE320) Feed for pigs & poultry (€),(SE325) Feed for pigs&poultry home-grown (€),(SE330) Other livestock specific costs (incl. veterinary expenses) (€/farm),(SE331) Forestry specific costs (€),(SE336) Total farming overheads (€),(SE340) Machinery & building current costs (€),(SE345) Energy (€),(SE350) Contract work (€),(SE356) Other direct inputs (€),(SE360) Depreciation (€),(SE365) Total external factors (€),(SE370) Wages paid (€),(SE375) Rent paid (€),(SE380) Interest paid (€),(SE381) Balance of interest paid and received (€),(SE390) Taxes (€),(SE395) VAT balance excluding on investments (€),(SE405) Balance subsidies & taxes on investments (€),(SE406) Subsidies on investments (€),(SE407) Payments to dairy outgoers (€),(SE408) VAT balance on investments (€),(SE409) Subsidies on agricultural investments (€),(SE410) Gross Farm Income (€),(SE415) Farm Net Value Added (€),(SE420) Farm Net Income (€),(SE425) Farm Net Value Added (€/AWU),(SE430) Family Farm Income (€/FWU),(SE436) Total assets (€),"(SE437) Total assets, opening valuation (€)",(SE441) Total fixed assets (€),"(SE446) Land, permanent crops & quotas (€)",(SE450) Buildings (€),(SE455) Machinery and equipment (€),(SE460) Breeding livestock (€),(SE465) Total current assets (€),(SE470) Non-breeding livestock (€),(SE475) Stock of agricultural products (€),(SE476) Inventories (€),(SE480) Other circulating capital (€),(SE485) Total liabilities (€),(SE490) Long & medium-term loans (€),(SE495) Short-term loans (€),(SE501) Net worth (€),(SE506) Change in net worth (€),(SE510) Average farm capital (€),(SE516) Gross Investment on fixed assets (€),(SE521) Net Investment on fixed assets (€),(SE526) Cash Flow 1 (€),(SE530) Cash Flow 2 (€),(SE532) Cash flow / farm total capital (€),(SE600) Balance current subsidies & taxes (€),(SE605) Total subsidies - excluding on investments (€),(SE606) Total direct payments (€),(SE610) Total subsidies on crops (€),(SE611) Compensatory payments/area payments (€),(SE612) Set aside premiums (€),(SE613) Other crops subsidies (€),(SE615) Total subsidies on livestock (€),(SE616) Subsidies dairying (€),(SE617) Subsidies other cattle (€),(SE618) Subsidies sheep & goats (€),(SE619) Other livestock subsidies (€),(SE621) Environmental subsidies (€),(SE622) LFA subsidies (€),(SE623) Other rural development payments (€),(SE624) Total support for rural development (€),(SE625) Subsidies on intermediate consumption (€),(SE626) Subsidies on external factors (€),(SE630) Decoupled payments (€),(SE631) Single Farm payment (€),(SE632) Single Area payment (€),(SE640) Additional aid (€),(SE650) Support_Art68 (€),(SE699) Other subsidies (€),(SE700) Total OGA output (€/farm),(SE715) Forestry and wood processing (€),(SE720) Contractual work services (€),(SE725) Agritourism (€),(SE750) Total specific costs for OGA (€),(SE447) Agricultural land (€/farm),(SE448) Forest land including standing timber (€/farm),(SE462) Intangible assets (€/farm),(SE332) Veterinary expenses (€/farm),(SE765) Milk processing specific cost (€/farm),(SE766) Cows' milk processing specific cost (€/farm),(SE770) Meat processing specific cost (€/farm),(SE705) Processing of animals and animals' products (€/farm),(SE710) Processing of crops (€/farm),(SE730) Other OGA output (€/farm),(SYS02) Farms represented (nb),(SYS03) Sample farms
2004,EU-28,(5) Milk,(45) Specialist milk,(1) 2 000 - < 8 000 EUR,7,1.34,"2,980.88",1.34,"2,973.16",0.0,7.7,10.3,8.2,0.1,2.0,2.4,3.3,0.3,0.0,0.0,0.0,0.1,0.1,0.0,0.0,5.9,0.6,0.0,0.6,1.4,6.1,4.5,0.0,0.0,1.1,0.0,0.3,0.1,36.4,57.1,0.84,"3,804",-,-,"6,257",1.19,"2,471",257,865,6,0,351,0,1,2,203,65,0,3,3,945,27,-,609,56,"2,978",518,120,-,0,33,34,3,17,83,506,"1,847","5,263","4,083","2,727",60,175,119,329,-,-,-,65,51,346,"1,744","1,538",219,189,143,1,"1,356",318,640,175,223,"1,093",87,7,49,31,0,66,-83,-15,0,0,-15,0,"3,252","2,159","2,057","1,608","1,537","31,504","31,108","27,085","9,398","10,909","4,810","1,968","4,419",609,"1,515",0,"2,296",349,89,261,"31,155",386,"22,201",275,-818,"2,399","2,250",0,"1,077","1,226",868,371,2,0,369,110,73,21,0,16,7,294,32,333,15,7,372,0,372,0,0,17,0,24,18,33,0,"5,339","2,287",0,0,0,0,0,0,0,0,"53,853",100 - <200
,,,,(2) 8 000 - < 25 000 EUR,16,1.63,"3,606.47",1.61,"3,556.24",0.0,50.2,15.0,10.9,0.1,4.1,4.3,4.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.3,0.0,0.3,2.3,13.6,9.0,0.0,0.0,3.7,0.3,0.5,0.1,42.0,78.2,1.26,"4,352",-,-,"16,402",1.29,"3,491",239,"1,321",10,0,435,67,12,25,98,30,0,48,21,"1,322",102,-,862,-62,"8,775","1,838",294,-,95,-2,46,602,75,"1,189",636,"2,668","12,760","9,347","5,699",71,311,146,570,-,-,-,129,58,340,"3,878","2,342",238,167,505,10,"3,649","1,167","1,090",503,889,"3,060",352,91,127,134,0,143,219,-86,123,0,-209,0,"10,230","7,170","6,731","4,386","4,179","94,733","94,425","82,235","31,702","29,906","14,453","6,174","12,499","1,710","2,607",0,"8,181","3,627","2,564","1,063","91,106",-109,"63,740","2,342",-718,"8,914","6,971",0,"3,175","3,099","1,900",722,157,3,562,641,240,288,1,111,481,619,41,"1,141",33,8,439,0,439,0,0,115,0,429,180,242,0,"16,219","5,946",0,0,0,0,0,0,0,0,"111,962",1000 - <2000
,,,,(3) 25 000 - < 50 000 EUR,38,1.60,"3,499.73",1.54,"3,382.27",0.1,117.5,24.4,13.8,0.0,10.6,8.6,5.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.1,0.1,0.3,4.6,28.0,18.1,0.0,0.0,9.3,0.1,0.5,0.0,50.9,80.7,1.45,"5,159",-,-,"39,763",1.23,"4,609",191,"1,858",21,0,266,121,57,2,63,40,0,69,28,"1,989",96,-,"1,133",-224,"25,983","5,234",278,-,28,9,49,17,152,"3,405",667,"3,859","32,318","23,248","13,575",95,575,115,"1,264",-,-,-,276,196,401,"9,250","3,565",210,123,"1,777",26,"9,674","2,959","2,399","1,318","2,997","7,277","1,793",337,716,739,0,363,708,-98,515,0,-613,0,"24,834","17,557","15,666","10,981","10,143","240,582","236,795","211,073","111,201","53,323","30,354","16,195","29,510","4,863","3,145",0,"21,501","18,229","14,608","3,621","222,353","3,572","129,384","6,841",-437,"22,137","15,378",0,"8,319","7,974","4,193","1,447",866,32,549,"2,159","1,115",919,6,119,"1,837","1,663",47,"3,547",146,56,357,0,357,0,0,260,0,"1,149",634,439,0,"65,411","36,449",0,0,0,0,0,0,0,0,"86,947",2000 - <3000
,,,,(4) 50 000 - < 100 000 EUR,74,1.63,"3,513.01",1.53,"3,310.22",0.1,202.8,39.0,21.1,0.1,17.9,20.6,6.4,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,31.3,0.2,0.6,0.7,2.7,50.4,30.9,0.0,0.0,18.9,0.2,0.4,0.0,62.9,88.1,1.58,"5,833",-,-,"75,803",1.17,"6,726",176,"3,054",42,7,162,206,137,38,85,37,0,91,49,"2,696",129,-,"1,305",-462,"54,888","10,252",219,-,93,9,42,5,305,"3,263",505,"5,003","64,811","46,574","26,904",137,"1,243",58,"2,852",-,-,-,876,367,427,"17,451","4,878",198,46,"3,891",27,"19,670","5,528","3,982","3,837","6,323","12,708","5,530",921,"2,873","1,736",0,734,976,-220,480,0,-700,0,"43,099","30,391","24,641","18,649","16,084","390,927","383,162","340,767","202,985","63,924","41,390","32,469","50,159","11,694","2,934",0,"35,531","42,979","32,706","10,273","347,947","7,336","189,076","11,783",-924,"37,084","25,420",0,"13,869","13,628","8,730","3,523","2,987",177,359,"4,660","2,750","1,628",27,256,"2,399","2,155",49,"4,603",224,90,132,0,132,0,0,396,0,624,769,232,0,"140,598","37,906",0,0,0,0,0,0,0,0,"108,806",3000 - <4000
,,,,(5) 100 000 - < 500 000 EUR,191,2.18,"4,852.30",1.76,"3,991.04",0.4,861.3,77.6,45.5,0.1,32.0,48.6,14.3,2.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,58.5,0.4,2.1,2.5,1.5,116.7,68.9,0.0,0.0,44.5,1.0,1.9,0.3,70.7,96.9,1.94,"6,802",-,-,"194,665",1.14,"19,054",254,"8,809",161,24,438,893,794,58,199,142,0,200,41,"6,795",525,-,"1,450",507,"144,809","21,920","1,198",-,428,38,165,55,646,"6,353",456,"11,162","170,123","116,421","72,221",176,"3,347",83,"6,565",-,-,-,"2,723","1,035",501,"46,270","11,012",853,64,"11,407",21,"44,200","11,731","9,008","10,847","12,614","27,313","26,388","6,766","10,133","9,489",0,"1,970","1,841",-143,952,2,"-1,096",0,"104,172","76,858","50,327","35,189","28,490","979,262","958,450","856,473","560,868","139,956","83,282","72,367","122,789","30,320","6,577",0,"85,892","220,486","182,236","38,250","758,777","13,689","416,758","34,425","7,111","76,091","48,854",0,"25,928","26,056","20,856","9,393","8,386",765,241,"10,418","5,982","3,586",126,724,"2,473","1,625",71,"4,169",463,368,154,0,154,0,0,"1,092",0,251,"1,407",151,0,"350,803","26,753",0,0,0,0,0,0,0,0,"131,831",4000 - <5000
,,,,(6) >= 500 000 EUR,876,11.18,"23,944.71",1.76,"4,209.16",9.4,"19,735.6",357.4,243.4,0.3,113.8,273.7,91.7,25.3,0.0,0.6,0.1,0.2,0.1,0.0,0.0,223.2,4.0,11.6,15.6,4.3,436.0,257.8,0.0,0.0,161.4,4.2,11.7,0.6,61.2,91.0,1.85,"7,334",-,-,"857,833",1.01,"145,555",427,"51,044","1,599",5,"3,589","3,667","12,561",231,"1,560",179,0,450,11,"68,044","2,620",-,"1,509","4,274","580,211","64,569","9,102",-,"1,583",744,16,450,"1,310","54,292",711,"86,493","846,548","561,708","377,901",169,"16,693","1,977","22,540",-,-,-,"14,449","6,836",728,"262,295","83,571","5,936",936,"49,080",72,"183,807","43,571","48,858","33,484","57,895","89,913","194,927","125,784","35,286","33,858",0,"6,361","2,934","2,892","4,269",0,"-1,377",0,"408,530","318,617","126,582","28,503","68,519","3,283,152","3,212,323","2,684,751","1,532,022","630,177","280,146","242,406","598,401","99,582","44,116",0,"454,702","832,770","651,793","180,977","2,450,383","14,739","1,727,909","147,275","57,362","201,167","114,072",0,"112,405","115,833","87,863","46,231","37,698","4,839","3,694","33,683","17,982","10,778",493,"4,430","9,741","8,016",228,"17,985","4,950","3,406","5,546",0,"5,546",0,0,"4,032",0,200,"14,611",319,0,"1,005,664","23,442",0,0,0,0,0,0,0,0,"5,946",500 - <1000
,(BE) Belgium,(5) Milk,(45) Specialist milk,(3) 25 000 - < 50 000 EUR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,< 15
,,,,(4) 50 000 - < 100 000 EUR,84,1.35,"3,845.17",1.32,"3,774.10",0.0,71.1,25.4,10.3,0.0,15.0,19.3,2.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,0.0,0.0,0.0,0.0,47.5,30.0,0.0,0.0,17.1,0.0,0.2,0.2,80.8,95.3,2.15,"5,960",-,-,"72,510",1.37,"6,148",242,"1,844",0,0,"1,086","2,043",0,57,334,0,0,0,0,429,355,"64,740","1,364",-895,"54,161","9,721",206,-,0,135,0,0,516,"1,622",268,"1,938","52,856","36,800","22,506",236,"1,650",0,"2,692",-,-,-,"1,366",288,348,"11,178","1,930",275,8,"5,057",0,"14,294","4,398","2,497","4,930","2,468","9,327","6,730",470,"4,141","2,119",0,750,"1,174","-2,020",50,0,"-2,070",0,"43,934","34,607","25,857","25,574","19,529","217,556","215,133","199,874","107,192","33,038","24,256","35,388","17,682","12,243",533,0,"4,906","36,253","36,253",0,"181,302","1,826","110,705","11,001","1,674","35,931","24,654",0,"8,224","7,800","6,598","2,374","2,316",0,58,"3,818","2,249","1,569",0,0,238,315,0,554,0,495,0,0,0,0,0,559,0,0,299,0,0,"82,337",0,0,0,0,0,0,0,0,0,"2,042",40 - <100
,,,,(5) 100 000 - < 500 000 EUR,170,1.73,"4,981.41",1.66,"4,830.42",0.1,151.0,50.4,21.9,0.1,28.4,38.4,5.1,2.3,0.0,0.2,0.0,0.1,0.1,0.0,0.0,42.2,0.0,0.3,0.3,0.0,97.8,57.8,0.0,0.0,37.6,0.0,2.2,0.2,85.0,121.3,2.26,"5,898",-,-,"146,099",1.32,"13,538",271,"4,042",20,0,"2,204","3,115",29,719,"1,033","1,038",0,0,0,609,729,"129,471","1,324",-312,"104,663","22,640","1,828",-,0,-53,0,0,393,"3,089",395,"3,919","111,038","70,873","45,796",247,"3,501",48,"5,341",-,-,-,"2,891",710,341,"22,933","3,855","1,237",13,"9,184",0,"25,076","7,952","5,071","8,558","3,495","22,351","17,814","1,070","8,077","8,667",0,"1,276","2,349","-1,179",910,0,"-2,089",0,"91,289","68,938","49,944","39,952","30,086","473,245","471,547","434,772","222,755","83,181","54,825","74,009","38,473","27,889","1,101",0,"9,483","132,585","131,573","1,013","340,659","9,160","255,399","24,013","1,663","72,577","41,443",0,"16,063","14,990","12,399","4,454","4,273",119,62,"7,435","3,887","3,548",0,0,514,515,0,"1,029",0,"1,809",0,0,0,0,0,263,0,0,526,71,0,"160,865",0,0,0,0,0,0,0,0,0,"4,270",200 - <500
,(CZ) Czechia,(5) Milk,(45) Specialist milk,(2) 8 000 - < 25 000 EUR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,291,< 15
