Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2004","2004","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2005","2005","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2006","2006","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2007","2007","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2008","2008","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2009","2009","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2010","2010","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2011","2011","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2012","2012","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2013","2013","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2014","2014","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2015","2015","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2016","2016","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2017","2017","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2018","2018","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2019","2019","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2020","2020","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2021","2021","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02112","Buffalo","2022","2022","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2004","2004","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2005","2005","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2006","2006","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2007","2007","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2008","2008","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2009","2009","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2010","2010","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2011","2011","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2012","2012","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2013","2013","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2014","2014","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2015","2015","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2016","2016","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2017","2017","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2018","2018","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2019","2019","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2020","2020","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2021","2021","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02111","Cattle","2022","2022","","","","",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2004","2004","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2004","2004","","","","",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2005","2005","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2005","2005","","","","",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2006","2006","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2006","2006","","","","",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2007","2007","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2007","2007","","","","",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2008","2008","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2008","2008","","","","",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2009","2009","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2009","2009","","","","",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2010","2010","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2010","2010","","","","",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2011","2011","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2011","2011","","","","",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2012","2012","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2012","2012","","","","",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2013","2013","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2013","2013","","","","",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2014","2014","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2014","2014","","","","",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2015","2015","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2015","2015","","","","",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2016","2016","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2016","2016","","","","",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2017","2017","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2017","2017","","","","",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2018","2018","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2018","2018","t","0","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2019","2019","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2019","2019","t","0","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2020","2020","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2021","2021","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02212","Raw milk of buffalo","2022","2022","","","","",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2004","2004","100 g/An","58019","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2004","2004","t","3137322","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2005","2005","100 g/An","57828","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2005","2005","t","3113658","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2006","2006","100 g/An","59033","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2006","2006","t","3146657","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2007","2007","100 g/An","59974","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2007","2007","t","3155068","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2008","2008","100 g/An","60594","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2008","2008","t","3195948","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2009","2009","100 g/An","60677","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2009","2009","t","3229809","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2010","2010","100 g/An","61000","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2010","2010","t","3257738","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2011","2011","100 g/An","62269","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2011","2011","t","3307130","A","Official figure",""
