"ROUTE","Route of Travel","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"0","All Routes","1976","1976","TMA04C1","Visitors to Ireland","Thousand","1312"
"0","All Routes","1976","1976","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","12"
"0","All Routes","1976","1976","TMA04C3","Visits Abroad by Irish Residents","Thousand","886"
"0","All Routes","1976","1976","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","11.2"
"0","All Routes","1977","1977","TMA04C1","Visitors to Ireland","Thousand","1473"
"0","All Routes","1977","1977","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.3"
"0","All Routes","1977","1977","TMA04C3","Visits Abroad by Irish Residents","Thousand","969"
"0","All Routes","1977","1977","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.6"
"0","All Routes","1978","1978","TMA04C1","Visitors to Ireland","Thousand","1673"
"0","All Routes","1978","1978","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.7"
"0","All Routes","1978","1978","TMA04C3","Visits Abroad by Irish Residents","Thousand","1151"
"0","All Routes","1978","1978","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.6"
"0","All Routes","1979","1979","TMA04C1","Visitors to Ireland","Thousand","1731"
"0","All Routes","1979","1979","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.3"
"0","All Routes","1979","1979","TMA04C3","Visits Abroad by Irish Residents","Thousand","1251"
"0","All Routes","1979","1979","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10"
"0","All Routes","1980","1980","TMA04C1","Visitors to Ireland","Thousand","1678"
"0","All Routes","1980","1980","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.7"
"0","All Routes","1980","1980","TMA04C3","Visits Abroad by Irish Residents","Thousand","1250"
"0","All Routes","1980","1980","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.2"
"0","All Routes","1981","1981","TMA04C1","Visitors to Ireland","Thousand","1668"
"0","All Routes","1981","1981","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.2"
"0","All Routes","1981","1981","TMA04C3","Visits Abroad by Irish Residents","Thousand","1274"
"0","All Routes","1981","1981","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.6"
"0","All Routes","1982","1982","TMA04C1","Visitors to Ireland","Thousand","1757"
"0","All Routes","1982","1982","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.9"
"0","All Routes","1982","1982","TMA04C3","Visits Abroad by Irish Residents","Thousand","1303"
"0","All Routes","1982","1982","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.9"
"0","All Routes","1983","1983","TMA04C1","Visitors to Ireland","Thousand","1779"
"0","All Routes","1983","1983","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.5"
"0","All Routes","1983","1983","TMA04C3","Visits Abroad by Irish Residents","Thousand","1254"
"0","All Routes","1983","1983","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"0","All Routes","1984","1984","TMA04C1","Visitors to Ireland","Thousand","1873"
"0","All Routes","1984","1984","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.6"
"0","All Routes","1984","1984","TMA04C3","Visits Abroad by Irish Residents","Thousand","1245"
"0","All Routes","1984","1984","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.8"
"0","All Routes","1985","1985","TMA04C1","Visitors to Ireland","Thousand","1912"
"0","All Routes","1985","1985","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.9"
"0","All Routes","1985","1985","TMA04C3","Visits Abroad by Irish Residents","Thousand","1258"
"0","All Routes","1985","1985","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.5"
"0","All Routes","1986","1986","TMA04C1","Visitors to Ireland","Thousand","1813"
"0","All Routes","1986","1986","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.9"
"0","All Routes","1986","1986","TMA04C3","Visits Abroad by Irish Residents","Thousand","1375"
"0","All Routes","1986","1986","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.7"
"0","All Routes","1987","1987","TMA04C1","Visitors to Ireland","Thousand","2039"
"0","All Routes","1987","1987","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.4"
"0","All Routes","1987","1987","TMA04C3","Visits Abroad by Irish Residents","Thousand","1567"
"0","All Routes","1987","1987","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.4"
"0","All Routes","1988","1988","TMA04C1","Visitors to Ireland","Thousand","2345"
"0","All Routes","1988","1988","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9"
"0","All Routes","1988","1988","TMA04C3","Visits Abroad by Irish Residents","Thousand","1747"
"0","All Routes","1988","1988","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.3"
"0","All Routes","1989","1989","TMA04C1","Visitors to Ireland","Thousand","2732"
"0","All Routes","1989","1989","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.4"
"0","All Routes","1989","1989","TMA04C3","Visits Abroad by Irish Residents","Thousand","1813"
"0","All Routes","1989","1989","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.3"
"0","All Routes","1990","1990","TMA04C1","Visitors to Ireland","Thousand","3069"
"0","All Routes","1990","1990","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.4"
"0","All Routes","1990","1990","TMA04C3","Visits Abroad by Irish Residents","Thousand","1798"
"0","All Routes","1990","1990","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.3"
"0","All Routes","1991","1991","TMA04C1","Visitors to Ireland","Thousand","2997"
"0","All Routes","1991","1991","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","10.1"
"0","All Routes","1991","1991","TMA04C3","Visits Abroad by Irish Residents","Thousand","1762"
"0","All Routes","1991","1991","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"0","All Routes","1992","1992","TMA04C1","Visitors to Ireland","Thousand","3128"
"0","All Routes","1992","1992","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.6"
"0","All Routes","1992","1992","TMA04C3","Visits Abroad by Irish Residents","Thousand","1966"
"0","All Routes","1992","1992","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"0","All Routes","1993","1993","TMA04C1","Visitors to Ireland","Thousand","3333"
