"ROUTE","Route of Travel","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"0","All Routes","19851","1985Q1","TMQ01C1","Visitors to Ireland","Thousand","254"
"0","All Routes","19851","1985Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","186"
"0","All Routes","19852","1985Q2","TMQ01C1","Visitors to Ireland","Thousand","495"
"0","All Routes","19852","1985Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","336"
"0","All Routes","19853","1985Q3","TMQ01C1","Visitors to Ireland","Thousand","840"
"0","All Routes","19853","1985Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","495"
"0","All Routes","19854","1985Q4","TMQ01C1","Visitors to Ireland","Thousand","324"
"0","All Routes","19854","1985Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","240"
"0","All Routes","19861","1986Q1","TMQ01C1","Visitors to Ireland","Thousand","255"
"0","All Routes","19861","1986Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","213"
"0","All Routes","19862","1986Q2","TMQ01C1","Visitors to Ireland","Thousand","455"
"0","All Routes","19862","1986Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","339"
"0","All Routes","19863","1986Q3","TMQ01C1","Visitors to Ireland","Thousand","770"
"0","All Routes","19863","1986Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","551"
"0","All Routes","19864","1986Q4","TMQ01C1","Visitors to Ireland","Thousand","332"
"0","All Routes","19864","1986Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","272"
"0","All Routes","19871","1987Q1","TMQ01C1","Visitors to Ireland","Thousand","273"
"0","All Routes","19871","1987Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","210"
"0","All Routes","19872","1987Q2","TMQ01C1","Visitors to Ireland","Thousand","536"
"0","All Routes","19872","1987Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","416"
"0","All Routes","19873","1987Q3","TMQ01C1","Visitors to Ireland","Thousand","865"
"0","All Routes","19873","1987Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","613"
"0","All Routes","19874","1987Q4","TMQ01C1","Visitors to Ireland","Thousand","365"
"0","All Routes","19874","1987Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","327"
